text,amount,label,metadata
Purchase at Netflix for dining. Date: 2025-10-17. Status: Cleared.,270.75,0,merchant:Netflix
Purchase at Amazon for entertainment. Date: 2025-10-16. Status: Cleared.,10.33,0,merchant:Amazon
Purchase at Uber for entertainment. Date: 2025-05-17. Status: Cleared.,102.61,0,merchant:Uber
Purchase at Starbucks for shopping. Date: 2025-05-08. Status: Cleared.,15.24,0,merchant:Starbucks
Purchase at Shell Station for shopping. Date: 2025-01-18. Status: Cleared.,256.47,0,merchant:Shell Station
Urgent wire transfer detected. Keyword: unverified. Destination: Panama. Amount: $29172.21. Risk: High.,29172.21,1,keyword:unverified
Purchase at Uber for groceries. Date: 2025-12-05. Status: Cleared.,194.27,0,merchant:Uber
Purchase at Amazon for utilities. Date: 2025-04-13. Status: Cleared.,9.55,0,merchant:Amazon
Purchase at Walmart for utilities. Date: 2025-11-06. Status: Cleared.,165.19,0,merchant:Walmart
Purchase at Shell Station for shopping. Date: 2025-05-14. Status: Cleared.,111.04,0,merchant:Shell Station
Purchase at Uber for entertainment. Date: 2025-10-03. Status: Cleared.,283.94,0,merchant:Uber
Purchase at Shell Station for shopping. Date: 2025-07-26. Status: Cleared.,91.3,0,merchant:Shell Station
Purchase at Shell Station for groceries. Date: 2025-05-17. Status: Cleared.,99.0,0,merchant:Shell Station
Purchase at Starbucks for entertainment. Date: 2025-11-06. Status: Cleared.,126.42,0,merchant:Starbucks
Purchase at Shell Station for shopping. Date: 2025-02-07. Status: Cleared.,111.22,0,merchant:Shell Station
Purchase at Amazon for entertainment. Date: 2025-05-04. Status: Cleared.,163.39,0,merchant:Amazon
Purchase at Walmart for groceries. Date: 2025-04-04. Status: Cleared.,45.2,0,merchant:Walmart
Urgent wire transfer detected. Keyword: offshore. Destination: Unknown. Amount: $20653.64. Risk: High.,20653.64,1,keyword:offshore
Purchase at Uber for entertainment. Date: 2025-01-09. Status: Cleared.,92.19,0,merchant:Uber
Purchase at Netflix for entertainment. Date: 2025-09-08. Status: Cleared.,198.23,0,merchant:Netflix
Purchase at Target for shopping. Date: 2025-05-04. Status: Cleared.,292.35,0,merchant:Target
Purchase at Walmart for dining. Date: 2025-11-20. Status: Cleared.,56.84,0,merchant:Walmart
Purchase at Whole Foods for utilities. Date: 2025-08-12. Status: Cleared.,220.66,0,merchant:Whole Foods
Purchase at Starbucks for transport. Date: 2025-04-22. Status: Cleared.,289.67,0,merchant:Starbucks
Purchase at Starbucks for dining. Date: 2025-02-10. Status: Cleared.,85.51,0,merchant:Starbucks
Purchase at Uber for utilities. Date: 2025-10-11. Status: Cleared.,26.65,0,merchant:Uber
Purchase at Shell Station for entertainment. Date: 2025-03-04. Status: Cleared.,113.79,0,merchant:Shell Station
Purchase at Netflix for dining. Date: 2025-11-15. Status: Cleared.,179.43,0,merchant:Netflix
Purchase at Amazon for groceries. Date: 2025-05-12. Status: Cleared.,175.05,0,merchant:Amazon
Purchase at Starbucks for entertainment. Date: 2025-10-16. Status: Cleared.,236.42,0,merchant:Starbucks
Purchase at Shell Station for utilities. Date: 2025-10-02. Status: Cleared.,83.74,0,merchant:Shell Station
Purchase at Uber for dining. Date: 2025-06-09. Status: Cleared.,158.05,0,merchant:Uber
Purchase at Whole Foods for shopping. Date: 2025-08-10. Status: Cleared.,265.33,0,merchant:Whole Foods
Purchase at Starbucks for transport. Date: 2025-09-04. Status: Cleared.,72.85,0,merchant:Starbucks
Purchase at Starbucks for groceries. Date: 2025-12-09. Status: Cleared.,115.97,0,merchant:Starbucks
Purchase at Target for dining. Date: 2025-10-25. Status: Cleared.,293.2,0,merchant:Target
Purchase at Amazon for dining. Date: 2025-01-26. Status: Cleared.,179.57,0,merchant:Amazon
Urgent wire transfer detected. Keyword: crypto. Destination: Russia. Amount: $36869.88. Risk: High.,36869.88,1,keyword:crypto
Purchase at Target for transport. Date: 2025-07-04. Status: Cleared.,148.75,0,merchant:Target
Purchase at Amazon for dining. Date: 2025-09-12. Status: Cleared.,298.43,0,merchant:Amazon
Purchase at Walmart for utilities. Date: 2025-10-12. Status: Cleared.,133.01,0,merchant:Walmart
Purchase at Target for utilities. Date: 2025-10-02. Status: Cleared.,109.44,0,merchant:Target
Purchase at Amazon for transport. Date: 2025-04-23. Status: Cleared.,154.2,0,merchant:Amazon
Purchase at Shell Station for entertainment. Date: 2025-06-22. Status: Cleared.,165.64,0,merchant:Shell Station
Purchase at Netflix for shopping. Date: 2025-03-31. Status: Cleared.,76.4,0,merchant:Netflix
Purchase at Walmart for utilities. Date: 2025-05-23. Status: Cleared.,123.31,0,merchant:Walmart
Purchase at Netflix for shopping. Date: 2025-12-03. Status: Cleared.,296.81,0,merchant:Netflix
Purchase at Starbucks for shopping. Date: 2025-10-02. Status: Cleared.,76.38,0,merchant:Starbucks
Purchase at Walmart for shopping. Date: 2025-06-10. Status: Cleared.,199.19,0,merchant:Walmart
Purchase at Starbucks for groceries. Date: 2025-05-14. Status: Cleared.,61.87,0,merchant:Starbucks
Purchase at Shell Station for entertainment. Date: 2025-09-12. Status: Cleared.,149.63,0,merchant:Shell Station
Urgent wire transfer detected. Keyword: unverified. Destination: Panama. Amount: $38950.87. Risk: High.,38950.87,1,keyword:unverified
Purchase at Netflix for utilities. Date: 2025-03-10. Status: Cleared.,11.48,0,merchant:Netflix
Purchase at Netflix for transport. Date: 2025-07-21. Status: Cleared.,299.44,0,merchant:Netflix
Purchase at Whole Foods for dining. Date: 2025-08-22. Status: Cleared.,64.11,0,merchant:Whole Foods
Purchase at Starbucks for utilities. Date: 2025-09-04. Status: Cleared.,258.49,0,merchant:Starbucks
Purchase at Walmart for groceries. Date: 2025-04-09. Status: Cleared.,107.22,0,merchant:Walmart
Purchase at Starbucks for dining. Date: 2025-08-09. Status: Cleared.,141.56,0,merchant:Starbucks
Purchase at Walmart for shopping. Date: 2025-01-24. Status: Cleared.,8.52,0,merchant:Walmart
Purchase at Walmart for dining. Date: 2025-04-30. Status: Cleared.,198.18,0,merchant:Walmart
Urgent wire transfer detected. Keyword: unverified. Destination: Unknown. Amount: $36564.01. Risk: High.,36564.01,1,keyword:unverified
Purchase at Shell Station for groceries. Date: 2025-03-16. Status: Cleared.,269.23,0,merchant:Shell Station
Purchase at Whole Foods for utilities. Date: 2025-08-14. Status: Cleared.,204.3,0,merchant:Whole Foods
Purchase at Netflix for entertainment. Date: 2025-10-29. Status: Cleared.,72.75,0,merchant:Netflix
Purchase at Whole Foods for utilities. Date: 2025-03-17. Status: Cleared.,189.68,0,merchant:Whole Foods
Purchase at Target for utilities. Date: 2025-02-20. Status: Cleared.,221.63,0,merchant:Target
Purchase at Starbucks for shopping. Date: 2025-06-28. Status: Cleared.,84.58,0,merchant:Starbucks
Purchase at Starbucks for dining. Date: 2025-04-01. Status: Cleared.,240.49,0,merchant:Starbucks
Purchase at Shell Station for entertainment. Date: 2025-03-29. Status: Cleared.,235.63,0,merchant:Shell Station
Purchase at Uber for entertainment. Date: 2025-10-07. Status: Cleared.,104.25,0,merchant:Uber
Purchase at Whole Foods for shopping. Date: 2025-04-17. Status: Cleared.,69.26,0,merchant:Whole Foods
Purchase at Walmart for transport. Date: 2025-09-03. Status: Cleared.,230.74,0,merchant:Walmart
Purchase at Shell Station for shopping. Date: 2025-05-14. Status: Cleared.,245.71,0,merchant:Shell Station
Purchase at Starbucks for utilities. Date: 2025-10-10. Status: Cleared.,30.96,0,merchant:Starbucks
Purchase at Walmart for shopping. Date: 2025-06-07. Status: Cleared.,202.87,0,merchant:Walmart
Purchase at Walmart for transport. Date: 2025-03-17. Status: Cleared.,157.29,0,merchant:Walmart
Purchase at Walmart for entertainment. Date: 2025-02-18. Status: Cleared.,137.69,0,merchant:Walmart
Purchase at Starbucks for utilities. Date: 2025-11-02. Status: Cleared.,161.36,0,merchant:Starbucks
Purchase at Target for utilities. Date: 2025-06-30. Status: Cleared.,72.5,0,merchant:Target
Purchase at Netflix for utilities. Date: 2025-04-12. Status: Cleared.,222.22,0,merchant:Netflix
Purchase at Walmart for shopping. Date: 2025-04-11. Status: Cleared.,73.83,0,merchant:Walmart
Purchase at Target for entertainment. Date: 2025-08-18. Status: Cleared.,106.14,0,merchant:Target
Purchase at Target for transport. Date: 2025-04-14. Status: Cleared.,49.7,0,merchant:Target
Purchase at Amazon for utilities. Date: 2025-04-23. Status: Cleared.,243.57,0,merchant:Amazon
Purchase at Walmart for shopping. Date: 2025-06-24. Status: Cleared.,252.51,0,merchant:Walmart
Purchase at Netflix for transport. Date: 2025-11-08. Status: Cleared.,42.89,0,merchant:Netflix
Purchase at Amazon for dining. Date: 2025-02-01. Status: Cleared.,207.75,0,merchant:Amazon
Purchase at Target for entertainment. Date: 2025-06-16. Status: Cleared.,291.32,0,merchant:Target
Purchase at Shell Station for shopping. Date: 2025-02-17. Status: Cleared.,163.96,0,merchant:Shell Station
Purchase at Whole Foods for utilities. Date: 2025-08-13. Status: Cleared.,116.39,0,merchant:Whole Foods
Purchase at Netflix for entertainment. Date: 2025-02-20. Status: Cleared.,205.47,0,merchant:Netflix
Purchase at Shell Station for utilities. Date: 2025-06-12. Status: Cleared.,244.23,0,merchant:Shell Station
Purchase at Walmart for groceries. Date: 2025-06-29. Status: Cleared.,263.68,0,merchant:Walmart
Purchase at Whole Foods for transport. Date: 2025-10-03. Status: Cleared.,171.25,0,merchant:Whole Foods
Purchase at Amazon for groceries. Date: 2025-09-05. Status: Cleared.,239.59,0,merchant:Amazon
Purchase at Whole Foods for utilities. Date: 2025-11-28. Status: Cleared.,213.05,0,merchant:Whole Foods
Purchase at Walmart for groceries. Date: 2025-08-31. Status: Cleared.,207.08,0,merchant:Walmart
Purchase at Uber for groceries. Date: 2025-09-26. Status: Cleared.,214.11,0,merchant:Uber
Purchase at Target for shopping. Date: 2025-03-20. Status: Cleared.,129.58,0,merchant:Target
Purchase at Walmart for entertainment. Date: 2025-08-17. Status: Cleared.,7.86,0,merchant:Walmart
Purchase at Shell Station for utilities. Date: 2025-03-01. Status: Cleared.,178.12,0,merchant:Shell Station
Urgent wire transfer detected. Keyword: unverified. Destination: Panama. Amount: $8829.58. Risk: High.,8829.58,1,keyword:unverified
Purchase at Uber for groceries. Date: 2025-11-04. Status: Cleared.,110.07,0,merchant:Uber
Purchase at Target for shopping. Date: 2025-11-17. Status: Cleared.,53.64,0,merchant:Target
Purchase at Netflix for transport. Date: 2025-11-23. Status: Cleared.,229.69,0,merchant:Netflix
Purchase at Shell Station for entertainment. Date: 2025-06-29. Status: Cleared.,194.58,0,merchant:Shell Station
Purchase at Starbucks for groceries. Date: 2025-08-10. Status: Cleared.,269.26,0,merchant:Starbucks
Purchase at Target for dining. Date: 2025-05-02. Status: Cleared.,158.04,0,merchant:Target
Purchase at Netflix for transport. Date: 2025-02-22. Status: Cleared.,141.89,0,merchant:Netflix
Purchase at Whole Foods for dining. Date: 2025-08-08. Status: Cleared.,168.71,0,merchant:Whole Foods
Purchase at Walmart for entertainment. Date: 2025-08-19. Status: Cleared.,49.9,0,merchant:Walmart
Purchase at Target for shopping. Date: 2025-08-07. Status: Cleared.,125.0,0,merchant:Target
Purchase at Walmart for shopping. Date: 2025-04-27. Status: Cleared.,10.85,0,merchant:Walmart
Purchase at Whole Foods for utilities. Date: 2025-02-01. Status: Cleared.,143.67,0,merchant:Whole Foods
Purchase at Walmart for utilities. Date: 2025-07-04. Status: Cleared.,6.45,0,merchant:Walmart
Purchase at Target for entertainment. Date: 2025-07-03. Status: Cleared.,95.66,0,merchant:Target
Purchase at Target for dining. Date: 2025-07-08. Status: Cleared.,207.38,0,merchant:Target
Urgent wire transfer detected. Keyword: shell company. Destination: Cyprus. Amount: $30722.18. Risk: High.,30722.18,1,keyword:shell company
Purchase at Amazon for groceries. Date: 2025-03-12. Status: Cleared.,119.83,0,merchant:Amazon
Purchase at Starbucks for groceries. Date: 2025-09-02. Status: Cleared.,125.18,0,merchant:Starbucks
Urgent wire transfer detected. Keyword: urgent. Destination: Cayman Islands. Amount: $28289.36. Risk: High.,28289.36,1,keyword:urgent
Purchase at Whole Foods for shopping. Date: 2025-02-08. Status: Cleared.,37.9,0,merchant:Whole Foods
Purchase at Starbucks for utilities. Date: 2025-11-28. Status: Cleared.,287.42,0,merchant:Starbucks
Purchase at Amazon for groceries. Date: 2025-05-09. Status: Cleared.,159.86,0,merchant:Amazon
Purchase at Netflix for shopping. Date: 2025-07-18. Status: Cleared.,240.68,0,merchant:Netflix
Purchase at Shell Station for entertainment. Date: 2025-11-19. Status: Cleared.,204.99,0,merchant:Shell Station
Purchase at Amazon for dining. Date: 2025-07-13. Status: Cleared.,155.59,0,merchant:Amazon
Purchase at Uber for utilities. Date: 2025-08-29. Status: Cleared.,243.21,0,merchant:Uber
Purchase at Amazon for groceries. Date: 2025-06-04. Status: Cleared.,67.29,0,merchant:Amazon
Purchase at Whole Foods for entertainment. Date: 2025-10-12. Status: Cleared.,21.28,0,merchant:Whole Foods
Purchase at Shell Station for dining. Date: 2025-06-27. Status: Cleared.,214.76,0,merchant:Shell Station
Purchase at Starbucks for utilities. Date: 2025-10-29. Status: Cleared.,152.54,0,merchant:Starbucks
Purchase at Target for dining. Date: 2025-03-25. Status: Cleared.,186.37,0,merchant:Target
Purchase at Netflix for shopping. Date: 2025-07-12. Status: Cleared.,194.59,0,merchant:Netflix
Purchase at Amazon for transport. Date: 2025-01-21. Status: Cleared.,199.51,0,merchant:Amazon
Purchase at Amazon for entertainment. Date: 2025-09-05. Status: Cleared.,104.18,0,merchant:Amazon
Purchase at Whole Foods for transport. Date: 2025-06-24. Status: Cleared.,156.87,0,merchant:Whole Foods
Purchase at Starbucks for entertainment. Date: 2025-06-19. Status: Cleared.,103.42,0,merchant:Starbucks
Purchase at Netflix for dining. Date: 2025-01-10. Status: Cleared.,7.83,0,merchant:Netflix
Purchase at Starbucks for shopping. Date: 2025-05-17. Status: Cleared.,89.64,0,merchant:Starbucks
Purchase at Target for dining. Date: 2025-11-25. Status: Cleared.,165.81,0,merchant:Target
Purchase at Netflix for transport. Date: 2025-05-26. Status: Cleared.,185.7,0,merchant:Netflix
Purchase at Shell Station for entertainment. Date: 2025-06-10. Status: Cleared.,25.31,0,merchant:Shell Station
Purchase at Whole Foods for utilities. Date: 2025-05-21. Status: Cleared.,17.97,0,merchant:Whole Foods
Purchase at Shell Station for entertainment. Date: 2025-03-18. Status: Cleared.,170.5,0,merchant:Shell Station
Purchase at Netflix for groceries. Date: 2025-11-26. Status: Cleared.,206.4,0,merchant:Netflix
Purchase at Starbucks for shopping. Date: 2025-09-02. Status: Cleared.,51.42,0,merchant:Starbucks
Purchase at Walmart for groceries. Date: 2025-02-18. Status: Cleared.,283.0,0,merchant:Walmart
Purchase at Whole Foods for dining. Date: 2025-01-24. Status: Cleared.,192.84,0,merchant:Whole Foods
Purchase at Netflix for utilities. Date: 2025-03-28. Status: Cleared.,108.22,0,merchant:Netflix
Purchase at Walmart for groceries. Date: 2025-03-10. Status: Cleared.,264.86,0,merchant:Walmart
Purchase at Netflix for shopping. Date: 2025-01-04. Status: Cleared.,53.58,0,merchant:Netflix
Purchase at Netflix for entertainment. Date: 2025-03-04. Status: Cleared.,47.38,0,merchant:Netflix
Purchase at Shell Station for groceries. Date: 2025-10-02. Status: Cleared.,298.78,0,merchant:Shell Station
Purchase at Amazon for shopping. Date: 2025-12-03. Status: Cleared.,78.24,0,merchant:Amazon
Purchase at Netflix for shopping. Date: 2025-04-06. Status: Cleared.,104.82,0,merchant:Netflix
Purchase at Uber for dining. Date: 2025-01-27. Status: Cleared.,62.07,0,merchant:Uber
Purchase at Shell Station for groceries. Date: 2025-03-23. Status: Cleared.,77.44,0,merchant:Shell Station
Urgent wire transfer detected. Keyword: suspicious. Destination: Unknown. Amount: $28876.57. Risk: High.,28876.57,1,keyword:suspicious
Purchase at Amazon for utilities. Date: 2025-09-02. Status: Cleared.,148.1,0,merchant:Amazon
Purchase at Starbucks for entertainment. Date: 2025-04-09. Status: Cleared.,198.56,0,merchant:Starbucks
Purchase at Netflix for dining. Date: 2025-12-03. Status: Cleared.,258.05,0,merchant:Netflix
Purchase at Amazon for dining. Date: 2025-05-05. Status: Cleared.,261.28,0,merchant:Amazon
Purchase at Uber for entertainment. Date: 2025-12-04. Status: Cleared.,39.78,0,merchant:Uber
Purchase at Whole Foods for transport. Date: 2025-08-16. Status: Cleared.,126.4,0,merchant:Whole Foods
Purchase at Shell Station for groceries. Date: 2025-03-10. Status: Cleared.,49.17,0,merchant:Shell Station
Purchase at Walmart for groceries. Date: 2025-02-26. Status: Cleared.,53.49,0,merchant:Walmart
Purchase at Netflix for groceries. Date: 2025-09-11. Status: Cleared.,96.09,0,merchant:Netflix
Purchase at Whole Foods for utilities. Date: 2025-06-30. Status: Cleared.,12.21,0,merchant:Whole Foods
Purchase at Whole Foods for transport. Date: 2025-11-15. Status: Cleared.,228.78,0,merchant:Whole Foods
Purchase at Target for transport. Date: 2025-02-07. Status: Cleared.,193.82,0,merchant:Target
Purchase at Uber for transport. Date: 2025-01-24. Status: Cleared.,60.86,0,merchant:Uber
Purchase at Whole Foods for entertainment. Date: 2025-05-25. Status: Cleared.,241.2,0,merchant:Whole Foods
Purchase at Netflix for entertainment. Date: 2025-12-05. Status: Cleared.,105.1,0,merchant:Netflix
Purchase at Uber for dining. Date: 2025-03-21. Status: Cleared.,124.56,0,merchant:Uber
Urgent wire transfer detected. Keyword: shell company. Destination: Panama. Amount: $34147.0. Risk: High.,34147.0,1,keyword:shell company
Purchase at Walmart for utilities. Date: 2025-08-18. Status: Cleared.,32.64,0,merchant:Walmart
Purchase at Walmart for transport. Date: 2025-01-15. Status: Cleared.,200.74,0,merchant:Walmart
Purchase at Target for groceries. Date: 2025-03-26. Status: Cleared.,213.46,0,merchant:Target
Purchase at Target for dining. Date: 2025-08-26. Status: Cleared.,164.89,0,merchant:Target
Purchase at Netflix for shopping. Date: 2025-03-30. Status: Cleared.,168.67,0,merchant:Netflix
Purchase at Shell Station for groceries. Date: 2025-04-28. Status: Cleared.,178.75,0,merchant:Shell Station
Purchase at Netflix for shopping. Date: 2025-07-26. Status: Cleared.,134.58,0,merchant:Netflix
Purchase at Whole Foods for dining. Date: 2025-07-21. Status: Cleared.,292.5,0,merchant:Whole Foods
Purchase at Target for entertainment. Date: 2025-04-20. Status: Cleared.,114.79,0,merchant:Target
Purchase at Whole Foods for utilities. Date: 2025-05-10. Status: Cleared.,147.34,0,merchant:Whole Foods
Purchase at Shell Station for transport. Date: 2025-07-12. Status: Cleared.,132.42,0,merchant:Shell Station
Purchase at Starbucks for dining. Date: 2025-01-26. Status: Cleared.,240.36,0,merchant:Starbucks
Purchase at Walmart for shopping. Date: 2025-07-31. Status: Cleared.,226.96,0,merchant:Walmart
Purchase at Whole Foods for dining. Date: 2025-03-21. Status: Cleared.,119.68,0,merchant:Whole Foods
Purchase at Target for groceries. Date: 2025-09-29. Status: Cleared.,75.36,0,merchant:Target
Purchase at Netflix for transport. Date: 2025-08-13. Status: Cleared.,60.19,0,merchant:Netflix
Purchase at Amazon for entertainment. Date: 2025-07-27. Status: Cleared.,55.35,0,merchant:Amazon
Purchase at Shell Station for entertainment. Date: 2025-02-16. Status: Cleared.,129.33,0,merchant:Shell Station
Purchase at Netflix for dining. Date: 2025-09-20. Status: Cleared.,195.74,0,merchant:Netflix
Purchase at Starbucks for entertainment. Date: 2025-04-22. Status: Cleared.,233.37,0,merchant:Starbucks
Purchase at Amazon for transport. Date: 2025-08-25. Status: Cleared.,270.72,0,merchant:Amazon
Purchase at Target for utilities. Date: 2025-05-06. Status: Cleared.,52.26,0,merchant:Target
Urgent wire transfer detected. Keyword: urgent. Destination: Cayman Islands. Amount: $38469.81. Risk: High.,38469.81,1,keyword:urgent
Purchase at Starbucks for dining. Date: 2025-08-14. Status: Cleared.,135.09,0,merchant:Starbucks
Purchase at Uber for shopping. Date: 2025-05-28. Status: Cleared.,156.63,0,merchant:Uber
Purchase at Uber for utilities. Date: 2025-12-05. Status: Cleared.,184.61,0,merchant:Uber
Purchase at Shell Station for entertainment. Date: 2025-06-21. Status: Cleared.,158.34,0,merchant:Shell Station
Purchase at Uber for dining. Date: 2025-04-30. Status: Cleared.,127.37,0,merchant:Uber
Purchase at Uber for utilities. Date: 2025-07-08. Status: Cleared.,175.7,0,merchant:Uber
Purchase at Whole Foods for dining. Date: 2025-04-27. Status: Cleared.,12.03,0,merchant:Whole Foods
Purchase at Amazon for dining. Date: 2025-05-24. Status: Cleared.,190.02,0,merchant:Amazon
Purchase at Whole Foods for groceries. Date: 2025-09-10. Status: Cleared.,39.22,0,merchant:Whole Foods
Urgent wire transfer detected. Keyword: crypto. Destination: Russia. Amount: $36898.42. Risk: High.,36898.42,1,keyword:crypto
Purchase at Amazon for utilities. Date: 2025-01-29. Status: Cleared.,262.13,0,merchant:Amazon
Purchase at Netflix for utilities. Date: 2025-05-12. Status: Cleared.,227.06,0,merchant:Netflix
